Participant;Slope;Emotion
sub128;0.000313989;Happy
sub128;-0.001493972;Sad
sub128;-0.006962907;Neutral
sub129;-0.000995049;Happy
sub129;-0.002228179;Sad
sub129;-0.000483225;Neutral
sub129;-0.000995049;Happy
sub129;-0.002228179;Sad
sub129;-0.000483225;Neutral
sub130;0.000947179;Happy
sub130;0.000488458;Sad
sub130;-0.001996855;Neutral
sub130;0.000947179;Happy
sub130;0.000488458;Sad
sub130;-0.001996855;Neutral
sub131;-0.00139947;Happy
sub131;-0.001970389;Sad
sub131;-1.58E-05;Neutral
sub131;-0.00139947;Happy
sub131;-0.001970389;Sad
sub131;-1.58E-05;Neutral
